id,book_name,book_publisher,book_author,book_description,book_desc,book_position,dewy_tenth,col_8,book_seriesno,book_seriesname,book_col11,book_access,book_creator,deleted_at,created_at,updated_at
2,يونان نخلة القدوة والخدمة الكنسية,مطبعة-شركة هارمونى للطباعة *رقم الايداع 2002-2615,تاليف- هدى فلتس جريس,يحتوى على قصة حياة يونان نخلة ,تراجم علمانيون,ر10-ك20م1+م2,,977-12-06-16-x,,,,0,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
3,يون الرجل السماوى ,مطبعة-لوجوس- الناشر keymedia *رقم الايداع 2003-16892,الكاتب -الاخ يون *ترجمة هناء عزيز,يحتوى على قصة حياة الاخ يون الصينى وتبشيرة بالمسيحية فى الصين بعد ان اختفت تماما من كل بقاع الصين عام1958 ,كرازة وارساليات,ر13- ك5,,977-5607-94-9,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
4,يوسف وهبى فنان الشعب,مطبعة -الهيئة العامة لقصور الثقافة 23-رقم الايداع 15752-98 -شركة الامل للطباعة والنشر-طبعة اولى98,اشراف-محمد السيد عيد,يحتوى على سيرة حياة يوسف فنان المسرح والسينما,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك5,,,,,,0,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
5,يوحنا النقيوسى اول من  كتب عن دخول العرب مصرتاريخ مصر والعالم القديم,الناشر-دار الثقافة الجديدة -طبعة اولى2011- رقم الايداع11262-2011,تحرير وتدقيق- عبد العزيز جمال الدين-تاليف-يوحنا النقيوسى,يحتوى على نبذة عن مخطوطة يوحنا النقيوسى وعصرة كما تطرق الى وجهة نظر المسيحية فى الفتح الاسلامى وحكتمه (الكتاب قيم جدا لكن يوجد خطا مطبعى كبير فيه وهو وجود عدد كبير جدا من الصفحات البيضاء),تاريخ الاقباط,ر1-ك27,,977-221-151-3,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
6,يهود مصر التاريخ السياسي,مطبعة- صحوة -الناشر- عين للدراسات والبحوث الانسانية والاجتماعية*رقم الايداع 2009-17615, اعداد- د. زبيدة محمد عطا,يحتوى على تاريخ وجود وظهور يهود مصر فى الساحه السياسية وموثقا بالعديد من مراجع الصحف والمجلات القديمة المؤيدة لحديث الكاتب ,مصر, ر56-ك7,,977-322-265-3,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
7,يهود مصر التاريخ الاجتماعى والاقتصادى,مطبعة- الصحوة الناشر عين للدراسات والبحوث الانسانية والاجتماعية *رقم الايداع 2010-21927,اعداد - د. زبيدة محمد عطا,يحتوى على التاريخ الاجتماعى والاقتصادى لجميع طبقات اليهود اللذين كانوا موجودين بمصر,مصر,ر56-ك8 ,,978-977-322-277-5,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
8,يا رب سلام الانبا ميخائيل مطران اسيوط,مطبعة-دار ومكتبة الحرية *رقم الايداع 2014-21655-طبعة اولى,بقلم-طالب اسحق عزمى,يحتوى على سيرة هذا القديس (نبذه صغيرة),تراجم مطارنة واساقفة,ر8-ك2         ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
9,وقائع اعجب من الخيال,مطبعة-طبع بشركة هارمونى للطباعه*رقم الايداع2865-1987, تاليف- ايريس حبيب المصرى,الكتاب يهتم ويتعلق بالتعاليم الفرعونية وبصلاة يسوع فى الروحانيية الارثوذكسية كما انه الكتاب فى الجزء الخاص بالتعاليم الفرعونية اهتم جدا بتوضيح العلاقة المتابادلة فى هذا الشأن ونستعرض ما جاء بيها وهى (اولا :الالهه والزمور، وثانيا :الهرم الاكبر والكتاب المقدس،ثالثا:الفرعون المجنح),موسوعة وصف مصر + فرعونيات,ر62-ك7,8,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
10,وطنية الكنيسة القبطية وتاريخها,مطبعة- دار الطباعة القومية -الفجالة *رقم الايداع 1995-9836,اعداد- القمص انطونيوس الانطونى ,يحتوى على تاريخ الكنيسة من بعد الاباء الرسل حتى  عصر الراحل السادات من (عام 150م الى عام 1981م) (متاح عدد 2 نسخه),تاريخ بطاركة الكنيسة,ر2-ك7-م1+م2,,977-00-0016-3,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
11,جريدة وطنى 9يونيو1968,الناشر-جريدة وطنى -العدد495,صاحب الامتياز-انطون سيدهم رئيس التحرير-انطون نجيب مطر,معجزات الشفاء يوميا من العذراء فى كنيستها بالزيتون ، قرارا الاتهام فى قضية مصرع كيندى ، ذكرى مرور 19 قرنا على استشهاد القديس مرقس وبرنامج الاحتفال وزيارة اعضاء الوفود للمقادس ومنها معرض الحضارة القبطية والفنون التشكيلية بكنيسة مارمرقس مصر الجديدة ، صورة الكاتدرائية المرقسية بالعباسية بالسقلات بعد ان تم صب قبتها الرئيسية بالخرسانه,مناسبات كنسية,ر21-ك2جريدة,73,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
